source,target,title,year,type
2720,2758,A Ball for the Imaginative,1949,undirected
2720,2767,A Ball for the Imaginative,1949,undirected
2758,2767,A Ball for the Imaginative,1949,undirected
3560,3561,A Demonstration of Stage Lighting,1933,undirected
3560,1419,A Demonstration of Stage Lighting,1933,undirected
3560,1187,A Demonstration of Stage Lighting,1933,undirected
3560,1463,A Demonstration of Stage Lighting,1933,undirected
3561,1419,A Demonstration of Stage Lighting,1933,undirected
3561,1187,A Demonstration of Stage Lighting,1933,undirected
3561,1463,A Demonstration of Stage Lighting,1933,undirected
1419,1187,A Demonstration of Stage Lighting,1933,undirected
1419,1463,A Demonstration of Stage Lighting,1933,undirected
1187,1463,A Demonstration of Stage Lighting,1933,undirected
2426,8512,A Doll's House,1953,undirected
2426,2502,A Doll's House,1953,undirected
2426,2459,A Doll's House,1953,undirected
2426,2483,A Doll's House,1953,undirected
2426,8207,A Doll's House,1953,undirected
2426,2515,A Doll's House,1953,undirected
2426,2518,A Doll's House,1953,undirected
2426,2518,A Doll's House,1953,undirected
2426,8539,A Doll's House,1953,undirected
2426,8540,A Doll's House,1953,undirected
8512,2502,A Doll's House,1953,undirected
8512,2459,A Doll's House,1953,undirected
8512,2483,A Doll's House,1953,undirected
8512,8207,A Doll's House,1953,undirected
8512,2515,A Doll's House,1953,undirected
8512,2518,A Doll's House,1953,undirected
8512,2518,A Doll's House,1953,undirected
8512,8539,A Doll's House,1953,undirected
8512,8540,A Doll's House,1953,undirected
2502,2459,A Doll's House,1953,undirected
2502,2483,A Doll's House,1953,undirected
2502,8207,A Doll's House,1953,undirected
2502,2515,A Doll's House,1953,undirected
2502,2518,A Doll's House,1953,undirected
2502,2518,A Doll's House,1953,undirected
2502,8539,A Doll's House,1953,undirected
2502,8540,A Doll's House,1953,undirected
2459,2483,A Doll's House,1953,undirected
2459,8207,A Doll's House,1953,undirected
2459,2515,A Doll's House,1953,undirected
2459,2518,A Doll's House,1953,undirected
2459,2518,A Doll's House,1953,undirected
2459,8539,A Doll's House,1953,undirected
2459,8540,A Doll's House,1953,undirected
2483,8207,A Doll's House,1953,undirected
2483,2515,A Doll's House,1953,undirected
2483,2518,A Doll's House,1953,undirected
2483,2518,A Doll's House,1953,undirected
2483,8539,A Doll's House,1953,undirected
2483,8540,A Doll's House,1953,undirected
8207,2515,A Doll's House,1953,undirected
8207,2518,A Doll's House,1953,undirected
8207,2518,A Doll's House,1953,undirected
8207,8539,A Doll's House,1953,undirected
8207,8540,A Doll's House,1953,undirected
2515,2518,A Doll's House,1953,undirected
2515,2518,A Doll's House,1953,undirected
2515,8539,A Doll's House,1953,undirected
2515,8540,A Doll's House,1953,undirected
2518,2518,A Doll's House,1953,undirected
2518,8539,A Doll's House,1953,undirected
2518,8540,A Doll's House,1953,undirected
2518,8539,A Doll's House,1953,undirected
2518,8540,A Doll's House,1953,undirected
8539,8540,A Doll's House,1953,undirected
2261,2176,A Man of Distinction,1946,undirected
2261,2100,A Man of Distinction,1946,undirected
2261,2205,A Man of Distinction,1946,undirected
2261,2112,A Man of Distinction,1946,undirected
2261,2113,A Man of Distinction,1946,undirected
2261,2213,A Man of Distinction,1946,undirected
2261,2114,A Man of Distinction,1946,undirected
2261,2215,A Man of Distinction,1946,undirected
2261,2217,A Man of Distinction,1946,undirected
2261,2284,A Man of Distinction,1946,undirected
2176,2100,A Man of Distinction,1946,undirected
2176,2205,A Man of Distinction,1946,undirected
2176,2112,A Man of Distinction,1946,undirected
2176,2113,A Man of Distinction,1946,undirected
2176,2213,A Man of Distinction,1946,undirected
2176,2114,A Man of Distinction,1946,undirected
2176,2215,A Man of Distinction,1946,undirected
2176,2217,A Man of Distinction,1946,undirected
2176,2284,A Man of Distinction,1946,undirected
2100,2205,A Man of Distinction,1946,undirected
2100,2112,A Man of Distinction,1946,undirected
2100,2113,A Man of Distinction,1946,undirected
2100,2213,A Man of Distinction,1946,undirected
2100,2114,A Man of Distinction,1946,undirected
2100,2215,A Man of Distinction,1946,undirected
2100,2217,A Man of Distinction,1946,undirected
2100,2284,A Man of Distinction,1946,undirected
2205,2112,A Man of Distinction,1946,undirected
2205,2113,A Man of Distinction,1946,undirected
2205,2213,A Man of Distinction,1946,undirected
2205,2114,A Man of Distinction,1946,undirected
2205,2215,A Man of Distinction,1946,undirected
2205,2217,A Man of Distinction,1946,undirected
2205,2284,A Man of Distinction,1946,undirected
2112,2113,A Man of Distinction,1946,undirected
2112,2213,A Man of Distinction,1946,undirected
2112,2114,A Man of Distinction,1946,undirected
2112,2215,A Man of Distinction,1946,undirected
2112,2217,A Man of Distinction,1946,undirected
2112,2284,A Man of Distinction,1946,undirected
2113,2213,A Man of Distinction,1946,undirected
2113,2114,A Man of Distinction,1946,undirected
2113,2215,A Man of Distinction,1946,undirected
2113,2217,A Man of Distinction,1946,undirected
2113,2284,A Man of Distinction,1946,undirected
2213,2114,A Man of Distinction,1946,undirected
2213,2215,A Man of Distinction,1946,undirected
2213,2217,A Man of Distinction,1946,undirected
2213,2284,A Man of Distinction,1946,undirected
2114,2215,A Man of Distinction,1946,undirected
2114,2217,A Man of Distinction,1946,undirected
2114,2284,A Man of Distinction,1946,undirected
2215,2217,A Man of Distinction,1946,undirected
2215,2284,A Man of Distinction,1946,undirected
2217,2284,A Man of Distinction,1946,undirected
1491,1430,A Rogue in a Bed,1934,undirected
1491,1508,A Rogue in a Bed,1934,undirected
1491,1508,A Rogue in a Bed,1934,undirected
1491,1516,A Rogue in a Bed,1934,undirected
1491,1518,A Rogue in a Bed,1934,undirected
1491,1531,A Rogue in a Bed,1934,undirected
1491,1531,A Rogue in a Bed,1934,undirected
1491,1540,A Rogue in a Bed,1934,undirected
1491,1463,A Rogue in a Bed,1934,undirected
1430,1508,A Rogue in a Bed,1934,undirected
1430,1508,A Rogue in a Bed,1934,undirected
1430,1516,A Rogue in a Bed,1934,undirected
1430,1518,A Rogue in a Bed,1934,undirected
1430,1531,A Rogue in a Bed,1934,undirected
1430,1531,A Rogue in a Bed,1934,undirected
1430,1540,A Rogue in a Bed,1934,undirected
1430,1463,A Rogue in a Bed,1934,undirected
1508,1508,A Rogue in a Bed,1934,undirected
1508,1516,A Rogue in a Bed,1934,undirected
1508,1518,A Rogue in a Bed,1934,undirected
1508,1531,A Rogue in a Bed,1934,undirected
1508,1531,A Rogue in a Bed,1934,undirected
1508,1540,A Rogue in a Bed,1934,undirected
1508,1463,A Rogue in a Bed,1934,undirected
1508,1516,A Rogue in a Bed,1934,undirected
1508,1518,A Rogue in a Bed,1934,undirected
1508,1531,A Rogue in a Bed,1934,undirected
1508,1531,A Rogue in a Bed,1934,undirected
1508,1540,A Rogue in a Bed,1934,undirected
1508,1463,A Rogue in a Bed,1934,undirected
1516,1518,A Rogue in a Bed,1934,undirected
1516,1531,A Rogue in a Bed,1934,undirected
1516,1531,A Rogue in a Bed,1934,undirected
1516,1540,A Rogue in a Bed,1934,undirected
1516,1463,A Rogue in a Bed,1934,undirected
1518,1531,A Rogue in a Bed,1934,undirected
1518,1531,A Rogue in a Bed,1934,undirected
1518,1540,A Rogue in a Bed,1934,undirected
1518,1463,A Rogue in a Bed,1934,undirected
1531,1531,A Rogue in a Bed,1934,undirected
1531,1540,A Rogue in a Bed,1934,undirected
1531,1463,A Rogue in a Bed,1934,undirected
1531,1540,A Rogue in a Bed,1934,undirected
1531,1463,A Rogue in a Bed,1934,undirected
1540,1463,A Rogue in a Bed,1934,undirected
1419,1319,A Wee Diamond Ring,1933,undirected
1419,1430,A Wee Diamond Ring,1933,undirected
1419,1187,A Wee Diamond Ring,1933,undirected
1419,1446,A Wee Diamond Ring,1933,undirected
1419,1190,A Wee Diamond Ring,1933,undirected
1419,1271,A Wee Diamond Ring,1933,undirected
1419,1205,A Wee Diamond Ring,1933,undirected
1319,1430,A Wee Diamond Ring,1933,undirected
1319,1187,A Wee Diamond Ring,1933,undirected
1319,1446,A Wee Diamond Ring,1933,undirected
1319,1190,A Wee Diamond Ring,1933,undirected
1319,1271,A Wee Diamond Ring,1933,undirected
1319,1205,A Wee Diamond Ring,1933,undirected
1430,1187,A Wee Diamond Ring,1933,undirected
1430,1446,A Wee Diamond Ring,1933,undirected
1430,1190,A Wee Diamond Ring,1933,undirected
1430,1271,A Wee Diamond Ring,1933,undirected
1430,1205,A Wee Diamond Ring,1933,undirected
1187,1446,A Wee Diamond Ring,1933,undirected
1187,1190,A Wee Diamond Ring,1933,undirected
1187,1271,A Wee Diamond Ring,1933,undirected
1187,1205,A Wee Diamond Ring,1933,undirected
1446,1190,A Wee Diamond Ring,1933,undirected
1446,1271,A Wee Diamond Ring,1933,undirected
1446,1205,A Wee Diamond Ring,1933,undirected
1190,1271,A Wee Diamond Ring,1933,undirected
1190,1205,A Wee Diamond Ring,1933,undirected
1271,1205,A Wee Diamond Ring,1933,undirected
2156,2169,Adam,1946,undirected
2156,2079,Adam,1946,undirected
2156,2205,Adam,1946,undirected
2156,2217,Adam,1946,undirected
2156,2217,Adam,1946,undirected
2156,2137,Adam,1946,undirected
2169,2079,Adam,1946,undirected
2169,2205,Adam,1946,undirected
2169,2217,Adam,1946,undirected
2169,2217,Adam,1946,undirected
2169,2137,Adam,1946,undirected
2079,2205,Adam,1946,undirected
2079,2217,Adam,1946,undirected
2079,2217,Adam,1946,undirected
2079,2137,Adam,1946,undirected
2205,2217,Adam,1946,undirected
2205,2217,Adam,1946,undirected
2205,2137,Adam,1946,undirected
2217,2217,Adam,1946,undirected
2217,2137,Adam,1946,undirected
2217,2137,Adam,1946,undirected
2426,2495,Aliens From The Commonwealth,1953,undirected
2426,2495,Aliens From The Commonwealth,1953,undirected
2426,2496,Aliens From The Commonwealth,1953,undirected
2426,2496,Aliens From The Commonwealth,1953,undirected
2426,7850,Aliens From The Commonwealth,1953,undirected
2426,2505,Aliens From The Commonwealth,1953,undirected
2426,2460,Aliens From The Commonwealth,1953,undirected
2426,2460,Aliens From The Commonwealth,1953,undirected
2426,2512,Aliens From The Commonwealth,1953,undirected
2426,2518,Aliens From The Commonwealth,1953,undirected
2426,2518,Aliens From The Commonwealth,1953,undirected
2426,2529,Aliens From The Commonwealth,1953,undirected
2426,8506,Aliens From The Commonwealth,1953,undirected
2495,2495,Aliens From The Commonwealth,1953,undirected
2495,2496,Aliens From The Commonwealth,1953,undirected
2495,2496,Aliens From The Commonwealth,1953,undirected
2495,7850,Aliens From The Commonwealth,1953,undirected
2495,2505,Aliens From The Commonwealth,1953,undirected
2495,2460,Aliens From The Commonwealth,1953,undirected
2495,2460,Aliens From The Commonwealth,1953,undirected
2495,2512,Aliens From The Commonwealth,1953,undirected
2495,2518,Aliens From The Commonwealth,1953,undirected
2495,2518,Aliens From The Commonwealth,1953,undirected
2495,2529,Aliens From The Commonwealth,1953,undirected
2495,8506,Aliens From The Commonwealth,1953,undirected
2495,2496,Aliens From The Commonwealth,1953,undirected
2495,2496,Aliens From The Commonwealth,1953,undirected
2495,7850,Aliens From The Commonwealth,1953,undirected
2495,2505,Aliens From The Commonwealth,1953,undirected
2495,2460,Aliens From The Commonwealth,1953,undirected
2495,2460,Aliens From The Commonwealth,1953,undirected
2495,2512,Aliens From The Commonwealth,1953,undirected
2495,2518,Aliens From The Commonwealth,1953,undirected
2495,2518,Aliens From The Commonwealth,1953,undirected
2495,2529,Aliens From The Commonwealth,1953,undirected
2495,8506,Aliens From The Commonwealth,1953,undirected
